epsilon,sigma
0.1182110945,465.4520963
0.1190442279,466.6533272
0.1198769365,467.828695
0.12071007,469.0192956
0.1215427786,470.211417
0.1223758871,471.3757081
0.1232088206,472.5342085
0.1240417291,473.6688521
0.1248744378,474.8238193
0.1257075712,475.9642559
0.1265402799,477.0929054
0.1273733883,478.206724
0.128206097,479.3039905
0.1290390305,480.3988572
0.129871939,481.4826684
0.1307048476,482.5576574
0.1315377811,483.6325923
0.1323706897,484.697537
0.1332038231,485.7663264
0.1340367316,486.8166641
0.1348694403,487.8577744
0.1357025737,488.8973594
0.1365352824,489.903393
0.1373683908,490.9324964
0.1382013243,491.954354
0.1390342329,492.9488447
0.1398671414,493.9426759
0.140700075,494.9272315
0.1415329835,495.9097347
0.142365917,496.8990641
0.1431986007,497.8637273
0.1440317341,498.8203603
0.1448644428,499.7676511
0.1456975762,500.7059486
0.1465302849,501.6421587
0.1473631934,502.5694726
0.1481961269,503.4887059
0.1490290355,504.4110186
0.1498621439,505.3314817
0.1506950775,506.2471774
0.1515277861,507.1413483
0.1523609195,508.0289043
0.1531936032,508.9027906
0.1540267366,509.7886276
0.1548594453,510.6644564
0.1556925787,511.5356877
0.1565254873,512.3978808
0.1573583958,513.2370691
0.1581911294,514.1024326
0.1590242379,514.9562246
0.1598571464,515.7910101
0.16069008,516.6234723
0.1615229885,517.4350963
0.1623558971,518.2598397
0.1631886057,519.0677885
0.164021939,519.8768731
0.1648546727,520.6816808
0.1656875812,521.4700246
0.1665204898,522.288204
0.1673534233,523.0784657
0.1681861069,523.8571259
0.1690192404,524.6330776
0.169851949,525.3952151
0.1706850825,526.1743996
0.171517991,526.9421731
0.1723511244,527.6947474
0.1731838331,528.4528021
0.1740165417,529.1871103
0.1748496502,529.9349635
0.1756825837,530.6884114
0.1765152924,531.4308241
0.1773484258,532.1598941
0.1781813343,532.8717822
0.1790144428,533.5983084
0.1798469515,534.3114434
0.180680085,535.023457
0.1815129935,535.7276141
0.1823461269,536.4353917
0.1831788356,537.1425001
0.1840117441,537.8397985
0.1848444528,538.5303836
0.1856777861,539.2141435
0.1865102949,539.8896952
0.1873434033,540.5801095
